appid,bizid,id_hash,str_device_type,str_server_ip,stream_id,u32_conn_server_time,u32_network_type,u32_video_bitrate,u32_video_reso,u64_begin_time,update_time
1253216102,9180,1517875021,1605-A01,121.51.22.118:1935,9180_965819,31,1,1200,35652544,1524240537654,2018-04-21 00:09:04
1253216102,9180,1518605503,Redmi Note 4,221.228.218.168:1935,9180_970607,95,1,1200,35652544,1524240527643,2018-04-21 00:09:12
1253216102,9180,1521438938,vivo X20A,1.198.4.40:1935,9180_940706,14203,1,1200,35652544,1524240575476,2018-04-21 00:09:35
1253216102,9180,1521444908,vivo X7Plus,120.221.31.42:1935,9180_940929,969,1,1200,35652544,1524240611371,2018-04-21 00:10:14
1253216102,9180,1517875811,JMM-AL10,221.180.165.29:1935,9180_965745,529,2,1200,35652544,1524240621661,2018-04-21 00:10:20
1253216102,9180,1520020099,vivo V3Max A,14.215.166.165:1935,9180_971030,42,1,1200,35652544,1524240627399,2018-04-21 00:10:28
1253216102,9180,1526133688,Meitu V4,61.191.60.40:1935,9180_921536,55,1,1800,47187200,1524240683265,2018-04-21 00:11:23
1253216102,9180,1523399132,vivo X9Plus,110.53.246.37:1935,9180_937871,107,2,1200,35652544,1524240720779,2018-04-21 00:12:01
1253216102,9180,171194844,OPPO A57,182.140.217.37:1935,9180_261180,85,1,1200,35652544,1524240747372,2018-04-21 00:12:27
1253216102,9180,1515866436,iPhone 5S,223.111.186.28:1935,9180_956514,46,2,1200,35652544,1524240768612,2018-04-21 00:12:49
1253216102,9180,1515765880,iPhone 6s,116.211.185.36:1935,9180_942912,36,1,1200,35652544,1524240789446,2018-04-21 00:13:09
1253216102,9180,1518612982,vivo X20A,123.6.4.165:1935,9180_970777,236,2,1200,35652544,1524240828517,2018-04-21 00:13:49
1253216102,9180,1534736733,iPhone 6,139.215.203.167:1935,9180_893422,48,1,1200,35652544,1524240842676,2018-04-21 00:14:02
1253216102,9180,1518607639,vivo Y51A,153.37.238.168:1935,9180_970464,113,2,1200,35652544,1524240844153,2018-04-21 00:14:08
1253216102,9180,1515887140,iPhone 7 Plus (CDMA),117.41.244.42:1935,9180_957116,22,1,1200,35652544,1524240876449,2018-04-21 00:14:36
1253216102,9180,1517877451,vivo X20A,123.6.6.28:1935,9180_968451,143,2,1200,35652544,1524240881140,2018-04-21 00:14:41
1253216102,9180,1519331825,vivo X20A,150.138.136.158:1935,9180_962710,23,1,1200,35652544,1524240897593,2018-04-21 00:14:58
1253216102,9180,1529841226,iPhone 7 (CDMA),61.128.151.34:1935,9180_926764,130,1,1200,35652544,1524240946154,2018-04-21 00:15:46
1253216102,9180,1518303321,iPhone 6s,1.189.213.158:1935,9180_968756,15,1,1200,35652544,1524240955562,2018-04-21 00:15:55
1253216102,9180,1519513031,MP1605,58.247.212.82:1935,9180_966283,240,1,1200,35652544,1524241018482,2018-04-21 00:16:59
1253216102,9180,1519930561,vivo Y66,157.255.128.37:1935,9180_971374,134,2,1200,35652544,1524241027830,2018-04-21 00:17:07
1253216102,9180,197645210,OPPO A57,112.17.5.48,9180_272228,207,2,1800,83886800,1524241027492,2018-04-21 00:17:08
1253216102,9180,1518864441,vivo X21A,111.7.189.165:1935,9180_964220,35,1,1200,35652544,1524241029455,2018-04-21 00:17:09
1253216102,9180,1519930563,vivo Y66i A,113.142.52.22:1935,9180_971376,148,1,1200,35652544,1524241041208,2018-04-21 00:17:20
1253216102,9180,1515769112,NX563J,183.230.74.37:1935,9180_942972,41,1,1200,35652544,1524241059884,2018-04-21 00:17:41
1253216102,9180,1519930560,F100L,183.203.65.20:1935,9180_971375,1246,1,1200,35652544,1524241065615,2018-04-21 00:17:45
